p_x,p_y,p_z,v_x,v_y,v_z,r11,r12,r13,r21,r22,r23,r31,r32,r33
1.16207,-0.0179896,0.840494,0.260863,-0.0307629,-0.0538231,0.996186,-0.0726204,0.0483677,0.0783997,0.988293,-0.130883,-0.0382967,0.134176,0.990217
1.16221,-0.0180612,0.840464,0.261254,-0.0312565,-0.0545685,0.996193,-0.0726472,0.0481882,0.0784034,0.988289,-0.130913,-0.0381134,0.134193,0.990222
1.16236,-0.018133,0.840434,0.261644,-0.0317504,-0.0553138,0.9962,-0.0726741,0.0480087,0.078407,0.988285,-0.130943,-0.0379301,0.134209,0.990227
1.1625,-0.0182051,0.840403,0.262033,-0.0322444,-0.0560591,0.996206,-0.072701,0.0478291,0.0784107,0.98828,-0.130972,-0.0377467,0.134226,0.990232
1.16264,-0.0182773,0.840372,0.262382,-0.0327393,-0.0568294,0.996213,-0.0727277,0.0476469,0.0784136,0.988277,-0.130995,-0.0375614,0.134235,0.990237
1.16279,-0.0183498,0.840341,0.262731,-0.0332344,-0.0575997,0.99622,-0.0727545,0.0474646,0.0784165,0.988274,-0.131017,-0.037376,0.134244,0.990243
1.16293,-0.0184222,0.840309,0.26304,-0.033733,-0.0583902,0.996227,-0.0727809,0.0472788,0.0784181,0.988272,-0.131029,-0.037188,0.134242,0.990251
1.16307,-0.018495,0.840277,0.263347,-0.0342317,-0.0591807,0.996234,-0.0728073,0.0470929,0.0784198,0.988271,-0.13104,-0.0369999,0.13424,0.990258
1.16322,-0.0185678,0.840244,0.263653,-0.0347301,-0.0599711,0.99624,-0.0728338,0.0469071,0.0784214,0.988269,-0.131052,-0.0368118,0.134237,0.990265
1.16336,-0.0186407,0.840211,0.263936,-0.0352303,-0.060769,0.996247,-0.0728599,0.0467189,0.0784222,0.988268,-0.131056,-0.0366221,0.134228,0.990274
1.1635,-0.0187139,0.840178,0.264218,-0.0357304,-0.0615668,0.996254,-0.0728861,0.0465307,0.078423,0.988268,-0.13106,-0.0364324,0.134218,0.990282
